iter	Passed	Remaining
0	47	47341
1	48	24064
2	49	16296
3	49	12405
4	50	10095
5	51	8543
6	52	7442
7	53	6611
8	54	5957
9	54	5434
10	55	5005
11	56	4648
12	57	4341
13	57	4079
14	58	3851
15	59	3658
16	60	3505
17	61	3358
18	62	3225
19	64	3145
20	65	3073
21	66	2960
22	67	2852
23	67	2754
24	68	2663
25	68	2582
26	69	2505
27	70	2433
28	70	2365
29	71	2302
30	71	2243
31	72	2185
32	72	2130
33	73	2078
34	73	2028
35	74	1981
36	74	1938
37	74	1896
38	75	1856
39	75	1819
40	76	1783
41	76	1749
42	77	1718
43	77	1687
44	78	1657
45	78	1628
46	78	1600
47	79	1572
48	79	1547
49	80	1521
50	80	1497
51	80	1473
52	81	1451
53	81	1429
54	81	1408
55	82	1388
56	82	1368
57	83	1350
58	84	1344
59	86	1352
60	86	1334
61	86	1315
62	87	1297
63	87	1280
64	87	1264
65	88	1248
66	88	1233
67	89	1221
68	89	1207
69	89	1194
70	90	1180
71	90	1168
72	91	1156
73	91	1143
74	91	1131
75	92	1120
76	92	1107
77	92	1095
78	92	1083
79	93	1072
80	93	1061
81	93	1050
82	93	1037
83	94	1027
84	94	1016
85	94	1007
86	95	997
87	95	987
88	95	977
89	95	968
90	96	959
91	96	950
92	96	941
93	96	933
94	97	925
95	97	917
96	97	908
97	97	901
98	98	893
99	98	885
100	98	878
101	98	871
102	99	864
103	99	856
104	99	849
105	99	842
106	100	835
107	100	828
108	100	822
109	100	815
110	101	809
111	101	803
112	101	796
113	101	790
114	101	784
115	102	779
116	102	772
117	102	767
118	102	761
119	103	756
120	103	751
121	103	745
122	104	742
123	104	737
124	104	733
125	104	728
126	105	723
127	105	719
128	105	715
129	106	710
130	106	706
131	106	702
132	107	698
133	107	694
134	107	689
135	107	685
136	108	681
137	108	677
138	108	673
139	108	669
140	109	665
141	109	660
142	109	656
143	109	652
144	110	650
145	110	646
146	110	643
147	111	639
148	111	636
149	111	632
150	111	629
151	112	625
152	112	622
153	112	618
154	112	615
155	113	611
156	113	608
157	114	607
158	114	604
159	114	601
160	114	597
161	114	594
162	115	590
163	115	587
164	115	584
165	115	581
166	116	578
167	116	575
168	116	573
169	116	570
170	117	567
171	117	564
172	117	562
173	117	559
174	118	556
175	118	554
176	118	551
177	118	548
178	119	546
179	119	543
180	119	540
181	119	538
182	120	535
183	120	533
184	120	530
185	120	528
186	120	525
187	121	523
188	121	521
189	121	518
190	121	516
191	122	514
192	122	511
193	122	509
194	122	507
195	123	505
196	123	502
197	123	500
198	123	498
199	124	496
200	124	494
201	124	492
202	124	490
203	125	487
204	125	485
205	125	483
206	125	481
207	126	479
208	126	478
209	126	476
210	126	474
211	127	472
212	127	470
213	127	468
214	127	466
215	128	465
216	128	463
217	128	461
218	128	459
219	129	458
220	129	456
221	129	454
222	130	453
223	130	453
224	131	451
225	131	450
226	131	448
227	132	447
228	132	445
229	132	443
230	132	441
231	133	440
232	133	438
233	133	436
234	133	435
235	133	433
236	134	431
237	134	430
238	134	428
239	134	427
240	135	425
241	135	423
242	135	422
243	135	420
244	136	419
245	136	417
246	136	416
247	136	414
248	137	413
249	137	411
250	137	410
251	137	408
252	138	407
253	138	405
254	138	404
255	138	403
256	138	401
257	139	400
258	139	398
259	139	397
260	139	396
261	140	394
262	140	393
263	140	392
264	141	391
265	141	390
266	142	390
267	142	389
268	143	389
269	143	387
270	143	386
271	144	386
272	146	389
273	146	388
274	146	387
275	147	385
276	147	384
277	147	383
278	148	383
279	148	381
280	148	380
281	149	379
282	149	378
283	149	376
284	149	375
285	150	374
286	150	373
287	150	372
288	151	372
289	152	374
290	153	372
291	153	371
292	153	370
293	153	369
294	153	368
295	154	366
296	154	365
297	154	364
298	154	363
299	155	362
300	155	361
301	156	360
302	156	360
303	156	359
